State,City,Hospital Id,Hospital Name,Address,Pin Code,PhONE NO,Mobile,Fax,Contactperson- (Desig),Email,LATITUDE,LONGITUDE
Andhra Pradesh,Rajahmundry,HOS-HYD-2218,Abhaya Emergency Centre Sri Hospitals,"79-1-4/1, J.N. Road",533103,0883-2461640,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-2510,Apoorva Health Services Pvt Ltd,"50-17-62, Rajendranagar, Visakhapatnam",530016,0891-2747436,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-11,Bapuji Maternity & Nursing Home,"7-44, Bapuji Nagarnacharam",500076,040-27175567,NA,0,NA,NA,0,0
Andhra Pradesh,Guntur,HOS-HYD-1524,Ent Nursing Home,"12-25-191, Kothapet Main Road, Oppsite To Bhagath Singh Statne",522001,0863-2225729,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-229,Bharathi Hospital,"14-24-1, Men'S Hostel Road, Maharanipet, Visakhapatnam",530002,0891-2526500,NA,0,NA,NA,0,0
Andhra Pradesh,Bhimavaram,HOS-HYD-1217,Bhimavaram Hospitals Ltd,J.P. Road Bhimavaramwest Godavary,534204,08816-221111,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-12,Bibi General Hospital & Cancer Centre,"16-3-991/1/C Govt Printing Press, Marketgovt. Printing Press Road",500024,040-24528122,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-541,Care Hospital,"No.6-3-248/1/1A, Road No.01, Banjara Hills",500034,040-30418786,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-514,Visakha Hospital And Diagnostics Pvt Limited,"A.S.Raja Complex, 10-50-11/5, Waltair Main Road, Ramnagarmaharanipeta",530002,0891-2714014,NA,0,NA,NA,0,0
Andhra Pradesh,Chittoor,HOS-HYD-5140,Dr.Agarwal'S Eye Hospital Ltd,"#22-339/2, Kongareddy Palle",517001,08572-232991,NA,0,NA,NA,0,0
Andhra Pradesh,Secunderabad,HOS-HYD-62,Care Hospitals,"Near Clocl Tower, Adjacent Laneto Westely Church, Market Stre",500003,040-7706252,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-13,Care Hospitals (A Unit Of Quality Care India Limited).,"Exhibition Road , Near Mazam Jahi Market",500001,040-30417777,NA,0,NA,NA,0,0
Andhra Pradesh,East Godavari,HOS-HYD-5172,Sanjana Orthopaedic Hospital,"Danavaipeta D.No 46-18-22, Rajamundry",533103,0883-2445114,NA,0,NA,NA,0,0
Andhra Pradesh,East Godavari,HOS-HYD-5206,Sri Bikkina Nursing Home,"Opp Vijay Mahal 4-1-37, Mandapeta",533308,08855-233761,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-5173,Ambaa Hospitals,"#9-1-29/23, Opp To Pratap Theatre, Lunger House",500008,040-32977343,NA,0,NA,NA,0,0
Andhra Pradesh,Secunderabad,HOS-HYD-57,Poulomi Hospital,"A2 & B17, Rukminipuri Colony",500062,040-27145555,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-5115,Dolphin Children Hospital,"17-87, Road #1, Kamalanagar, Chaitanyapuri, Dilsukhnagar",500060,040-24062040,NA,0,NA,NA,0,0
Andhra Pradesh,Vijayawada,HOS-HYD-1521,Chaitanya Eye Hospital,Tikkle Road Mogalrajpuram,520010,0866-2475153,NA,0,NA,NA,0,0
Andhra Pradesh,Vijayawada,HOS-HYD-64,Charithasri Hospitals Ltd,"Ramachandra Rao Road, 29/6/8-1, .Ramachandrarao Road",520002,0866-2432350,NA,0,NA,NA,0,0
Andhra Pradesh,Vijayawada,HOS-HYD-65,Dr. Ramesh Cardiac And Multispeciality Hospital (P) Ltd.,"Near I.T.I College, Ring Road",520008,0866-2484800,NA,0,NA,NA,0,0
Andhra Pradesh,Khammam,HOS-HYD-50,Cure Emergency Hospital,"11-2-91/A, Balajinagar, N.S.T Road",507001,08742-234077,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-2017,Challa Eye Care Centre,"8-2-268/R/9-P, Sagar Society Main Road, Road # 2, Banjara Hills",500034,040-4013771180,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-2112,Clear Vision Eye Hospital,"3-6-272, Nvk Towers, Opp Telugu Academy Himayathnagar, Quarters Road",500029,040-23225386,NA,0,NA,NA,0,0
Andhra Pradesh,Rajahmundry,HOS-HYD-487,Dr.A.V.Ramana Rao Memorial Eye Clinic,Opp.Gokavaram Bus Stand,533104,0883-2444852,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-1397,Drishti Eye Centre,"Plot # 114A, Lane Opp:Sbi, Srinagar Colonymain Road",500073,040-23742158,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-630,G.S.N Hopital,Sanjeeva Reddy Nagar,500038,040-23813655,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-58,Geetha Maternity & Nursing Home,"10-1-5/C Road # 4, West Mared Pally.West Marredpally",500026,040-27801272,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-19,Global Hospital,"6-1-1070/1 To4 Lakdi Ka Pul Ranga Reddy, Beside R R Dist. Collector Off",500004,040-23244444,NA,0,NA,NA,0,0
Andhra Pradesh,Vijayawada,HOS-HYD-288,Global Multipseciality Hospital,"M.G.Road, Opp. Old Bus Stand",520002,0866-2571613,NA,0,NA,NA,0,0
Andhra Pradesh,Secunderabad,HOS-HYD-59,Gnr Multispecialty Hospital,Alwal Behind Satya Petrol Pump,500010,040-27970420,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-VIZ-1672,Good Healths New Central Hospital,"2Nd Lane, Dwarakanagar, Vishakhapatnam",530016,0891-2754992,NA,0,NA,NA,0,0
Andhra Pradesh,Kurnool,HOS-HYD-1188,Gowri Gopal Hospital Pvt Ltd,"D.No. 46-87, Budhawara Peta",518002,08518-255499,NA,0,NA,NA,0,0
Andhra Pradesh,Rajahmundry,HOS-VIZ-1801,G.S.L. General Hospital,"#Nh-5, Lakshmipuram, Rajanagaram, Mandal",533294,0883-2484999,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-VIZ-1908,Gayatri Nursing Home,"# 14-38-5, Near Maharani Peta",530002,0891-2706560,NA,0,NA,NA,0,0
Andhra Pradesh,Rajahmundry,HOS-HYD-523,Harsha Hospitals,"75-1-7, Prakash Nagar, 2Nd Street, East Godavari",533103,0883-2469403,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-20,Heritage Hospital,"Mch No. 8-3-823/252, Plot No. 252, Phase Ii, Kamalapuri Colony, -Somajiguda",500082,040-23379999,NA,0,NA,NA,0,0
Andhra Pradesh,Warangal,HOS-HYD-0,Hiranmayi Medicare & Research Centre Pvt. Ltd.,"9-5-19, J.P.N. Road, Mandi Bazar",506002,0870-2577686,NA,0,NA,NA,0,0
Andhra Pradesh,Guntur,HOS-HYD-200,Hi-Tech Trauma & Critical Care Hospitals Ltd.,"6-29-34/A, Lodge Center Amaravathi Road",522002,0863-240687,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-547,Hope Children'S Hospital,"5-9-24/81, Lake Hill Road, Basheerbaghbasheer Bagh",500463,040-23223782,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-201,Hyderabad Kidney & Laproscopic Centre,"D.No.16-2-674/12, Judges Colonmakalpet",500036,040-24540777,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-21,Hyderabad Nursing Home Pvt Ltd,"No:5-9-29/40, Opp Ghmc Basheerbagh,",500063,040-23222344,NA,0,NA,NA,0,0
Andhra Pradesh,Guntur,HOS-HYD-202,Hyma Hospitals (Pvt) Ltd.,"Main Road, Pattabhipuram",522006,0863-2231564,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-22,Image Health Care Limited,"8-3-903/F-12& 13, Image House Beside Bata Showroom",500073,040-23750000,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-238,Basavatarakam Indo American Cancer Hospital & Research Institute,"Road No 14, Banjara Hills",500034,040-23551235,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-1470,J.J. Hospital,"Plot # 57, Kalyan Nagar, 1St Phase , Near T.B. Hospital",500038,040-23712106,NA,0,NA,NA,0,0
Andhra Pradesh,Warangal,HOS-HYD-645,Jaya Hospital,Hanumakonda,506011,0890-2571303,NA,0,NA,NA,0,0
Andhra Pradesh,Nellore,HOS-HYD-232,Jayabharat Hospital,"16/2884, Somasekharapuram, Near V.R. College",524003,0861-2326204,NA,0,NA,NA,0,0
Andhra Pradesh,Warangal,HOS-HYD-4894,Pramoda Hospital,Balasamudram H.No.1-8,506001,0870-2568899,NA,0,NA,NA,0,0
Andhra Pradesh,Nalgonda,HOS-HYD-233,Jyothi Hospital,H.No. 19-1350 Jyothi Hospital Road Miryalguda Naglonda,508207,08689-244858,NA,0,NA,NA,0,0
Andhra Pradesh,Ananthapur,HOS-HYD-1244,Jeevana Jyothi Hospital,"#15/381, Kamala Nagar",515001,08554-249988,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-1706,Kadimi Nursing Home,"#6-94/6/C, Lane Beside Rk Electronics Opp Swagath Hotel Chandanagar Lane Beside Rk Electronics",500050,040-23033599,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-1015,Kamineni Hospitals Ltd.,L.B. Nagar,500068,040-39879999,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-878,Krishna Children Hospital,"11-5-423/B Niloufer Road, Bazarghat, Lakdi Ka Pool, -Niloufbr Hospital Road",500004,040-66838383,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-23,L V Prasad Eye Institute,L V Prasad Marg Banjarahillsbanjara Hills,500034,040-30612808,NA,0,NA,NA,0,0
Andhra Pradesh,Guntur,HOS-HYD-2069,Karumuri Hospital,"13-4-73, Old Club Road, Kothapeta",522001,0863-2222200,NA,0,NA,NA,0,0
Andhra Pradesh,Bhimavaram,HOS-HYD-2264,Krishna Hospital,"Undi Road, Near Town Railway Station",534202,08816-227177,NA,0,NA,NA,0,0
Andhra Pradesh,Warangal,HOS-HYD-2373,Kalyani Hospital(A Unit Of  Sree Thrumala Medicare And Drc Pvt Ltd),"6-1-69, Stadium Road, Balasamudrah",506001,0870-2577077,NA,0,NA,NA,0,0
Andhra Pradesh,Tanuku,HOS-HYD-356,Lakshmi Arundhati Nursing Home,West Godavari Dt,534211,08819-224679,NA,0,NA,NA,0,0
Andhra Pradesh,Guntur,HOS-HYD-825,Lalitha Super Specialities Hospital (P) Ltd,12-21-59 Gowrisankar Theatre Road,522001,0863-6642867,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-703,Lazarus Hospitals Ltd,Waltair Main Road,530002,0891-2784784,NA,0,NA,NA,0,0
Andhra Pradesh,Rajahmundry,HOS-HYD-234,Life Emergency,"36-26-10/1, Near Kotipallibridgecenter",533101,0883-2421357,NA,0,NA,NA,0,0
Andhra Pradesh,Secunderabad,HOS-HYD-354,Madhava Nursing Home,"43, Sarodjini Devi Road",500003,040-27700955,NA,0,NA,NA,0,0
Andhra Pradesh,Nandyal,HOS-HYD-1718,Madhumani Nursing Home,"# 2-444C, Balaji Complex, Kurnool",518501,08514-243210,NA,0,NA,NA,0,0
Andhra Pradesh,Secunderabad,HOS-HYD-1019,Mahalakshmi Nursing Home,"3-2-320, S.S.Street, Kalasiguda, Behind Manju Theat",500003,040-27812840,NA,0,NA,NA,0,0
Andhra Pradesh,Khammam,HOS-HYD-51,Mamatha General & Super Speciality Hospital,"5-7-200, Pakabanda Bazar",507002,08742-230864,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-24,Matrika Dr. Kalpana'S Hospital,"6-3-1100/2, T-Nagar , Somajiguda, -, Near Ayyappa Swamy Temple",500082,040-2340935,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-458,Maxivision Laser Center (P) Ltd - Begumpet,"#1-11-252 / 1A To 1D, Alladin Mansion, Street No 3, Begumpet",500016,040-27763677,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-26,Mediciti Hospital,5-9-22 Secretariat Roadsecratariat Road,500063,040-23231111,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-595,Meditek Hospital,"16-2-661/F, Judge Clny, Malakpet, Malakpet",500036,040-24555111,NA,0,NA,NA,0,0
Andhra Pradesh,Secunderabad,HOS-HYD-938,Meena Hospital,"10-5-682/2, Thukaram Gate",500017,040-27735056,NA,0,NA,NA,0,0
Andhra Pradesh,Vijayawada,HOS-HYD-323,Meenakshi Eye Hospital,"Mohanbagh Apartments, Dornakal Road",520002,0866-2433388,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-28,Mela Multi Speciality Hospital,"Shyamalal Building, Begumpet",500016,040-27761212,NA,0,NA,NA,0,0
Andhra Pradesh,Secunderabad,HOS-HYD-29,Mirra Multi Speciality Hospital,J.P. Nagar Miyapur Ranga Reddy Dist,500050,040-23042015,NA,0,NA,NA,0,0
Andhra Pradesh,Nellore,HOS-HYD-1114,Modern Eye Hospital & Research Centre,"#16-11-101, Beside Venkataramapogathota",524001,0861-2324868,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-446,Mythri Nursing Home,16-1-4 K.G.H. Beach Roadvishakapatnam,530002,0891-2706963,NA,0,NA,NA,0,0
Andhra Pradesh,Vijayawada,HOS-HYD-2062,M.V.S Accident Hospital,"33-18-15A, Suryaraopet",520002,0866-2435555,NA,0,NA,NA,0,0
Andhra Pradesh,Vizianagaram,HOS-HYD-2369,Maharajah'S Institute Of Medical Sciences,"#31-15, Nellimarla",535217,08922-244390,NA,0,NA,NA,0,0
Andhra Pradesh,Vijayawada,HOS-HYD-66,Nagarjuna Hospitals Ltd,"Door No 8-102, Kanuru",520007,0866-2554701,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-203,Navya Nursing Home,"11-13-190/2/1, Dwarakanagarsaroor Nagar",500035,040-24030196,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-1528,New Life Hospital,"16-6/104 To-109, Chaderghat",500024,040-24562902,NA,0,NA,NA,0,0
Andhra Pradesh,Secunderabad,HOS-HYD-60,Newciti Hospital,35 Sarojini Devi Road,500003,040-26260004,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-31,Nikhil Super Speciality Hospital,"16-11-740/3/A Gaddiannaram X-Road, Dilkush Nagar",500059,040-24065075,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-1923,Nightingale Hospital,"17-1-383/N.S/384, Santhosh Nagar, Saidabanagar, Sadabab",500059,040-24530085,NA,0,NA,NA,0,0
Andhra Pradesh,Gajuwaka,HOS-HYD-310,Padmaja Hospital,"Old Junction, Visakhapatnam",530026,0891-2762975,NA,0,NA,NA,0,0
Andhra Pradesh,Krishna,HOS-HYD-4901,Padmavathi Hospitals,"#10/145, Rajendra Nagav(Main Line)",521301,08674-242097,NA,0,NA,NA,0,0
Andhra Pradesh,Guntur,HOS-HYD-2,Padmavathy Super Speciality Hospital,"Opp:Head Post Office, Kothapet",522001,0863-225373,NA,0,NA,NA,0,0
Andhra Pradesh,Vijayawada,HOS-HYD-67,Pinnamaneni Care Hospital,"60-9-10, Siddartha Nagar.Pinnamaneni Poly Clinic Road",520010,0866-2470100,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-1694,Pragna Children'S Hospital,"6-3-347/22/B/1, Dwarakpuri Colony, Near Saibaba Temple, Punjaguttacolony, Punjagutta",500482,040-66827999,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-1526,Pranaam Hospitals Pvt Ltd,1-58/6/40& 41 Madinaguda Miyapur,500050,040-65346359,NA,0,NA,NA,0,0
Andhra Pradesh,Chittoor,HOS-HYD-1471,Prashanth Hospital,"# 410, Tilak Road, Tirupati, Chitoor",517501,0877-2254333,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-33,Premier Hospital (P) Ltd,"12-2-710, Gudimalkapur Road, Mehdipatnam",500028,040-23516557,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-34,Pumega Hospital,"Plot No.50/A, S.R. Nagar",500038,040-23706899,NA,0,NA,NA,0,0
Andhra Pradesh,Secunderabad,HOS-HYD-1893,Parvathi Multispeciality Hospital,"E-30, 31, Vikrampuri Colony",500003,040-27814173,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-VIZ-2244,Prabha Clinic & Nursing Home,"29-2-36, Jail Road, Opp:Dist, Court, Visakhapatnam",530020,0891-2566637,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-69,Chalasani Hospitals Pvt. Ltd.,"50-53-4, Gurudwaralane, Seethammadhara, Visakhapatnam-, Beside A.P.E.P.D.L.L Corporate Office",530013,0891-2353063,NA,0,NA,NA,0,0
Andhra Pradesh,Nellore,HOS-HYD-1797,R.S.R.Hospital,"# 16-2/62, Pogathota",524001,0861-2321693,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-350,Raghavendra Hospital,Kamalanagarecil-X Road,500062,040-66497666,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-488,Raghavendra Hospital,#49-54-10/2/A Near Port Stadium Nh,530013,0891-2704055,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-35,Rainbow Children'S Medicare Pvt Ltd,"Plot No 22, Road No. 10, Banjara Hills",500034,040-23319061,NA,0,NA,NA,0,0
Andhra Pradesh,Rajahmundry,HOS-HYD-897,Rajamundry Orthopeadic Hospital,75-1-18 Prakash Nagar,533103,0883-2468110,NA,0,NA,NA,0,0
Andhra Pradesh,Rajahmundry,HOS-HYD-1583,Raju Neuro & Multispeciality Hospital,"Gandhipuram-Ii, Rajamundry, East Godavari",533103,0883-2445199,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-298,Ram Hospital,"Sahpur Nagar, I.D.A., Jeedimetla",500055,040-23095777,NA,0,NA,NA,0,0
Andhra Pradesh,Vijayawada,HOS-HYD-300,Andhra Hospitals (Vijayawada) Pvt. Ltd.,"C.V.R Complex, Prakasamroad",520002,0866-2574757,NA,0,NA,NA,0,0
Andhra Pradesh,Rajahmundry,HOS-HYD-204,Ratna Orthopaedic Centre,Danavai Peta,533103,0833-2445195,NA,0,NA,NA,0,0
Andhra Pradesh,Secunderabad,HOS-HYD-37,Remedy Hospital'S(A Unit Of Albha Health Care Pvt .Ltd),"Mig-339&340, Road No-4, Kphb Colony, Kukatpally, Hyderabad Balanagar",500072,040-41418787,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-VIZ-1317,Rhea Hospital (Metroxmulti Speciality Hospital),"# 18-01-03, K.G.H. Downmaharanipeta, Jagadamba Jn",530002,0891-2793636,NA,0,NA,NA,0,0
Andhra Pradesh,Nellore,HOS-HYD-1216,Rich Hospitals,"#16-11/131 Kasturidevinagar, Pogathota",524001,0861-2326228,NA,0,NA,NA,0,0
Andhra Pradesh,Vijayawada,HOS-HYD-2189,Rich Hospital,"Kasturi Peta, .Near Pushpa Hotel Centre",520010,0866-2436577,NA,0,NA,NA,0,0
Andhra Pradesh,Gajuwaka,HOS-HYD-70,Rk Hosptial (Gajuwaka Hospitals Pvt. Ltd.),Chaitanya Nagar,530026,0891-2517599,NA,0,NA,NA,0,0
Andhra Pradesh,Chittoor,HOS-HYD-892,Russh Super Speciality Hospitals,Behind Municipal Petrol Bunk. Opp.To V V Mahaltirupathi,517501,0877-2220487,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-1878,Raghava Hospital,"8-3-214/18, Srinivas Colonyameerpet",500038,040-23732617,NA,0,NA,NA,0,0
Andhra Pradesh,Vijayawada,HOS-HYD-1391,S.K. Super Speciality Laser Eye Hospital,"29-13-87, Kaleswara Rao Road, Surya Rao Pet.Surya Rao Pet",520002,0866-2433791,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-489,S.R.Hospital,Gopalapatnam,530002,0891-2520822,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-2346,S.V.R. Super Speciality Hospital,"7-1-79/A&B, Dharam Karan Road, Ameerpet",500016,040-23753790,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-457,Sagarlal Memorial Hospital & Matadin Goel Reserch Centre,"1-5-551, Musheerabad",500020,040-23445501,NA,0,NA,NA,0,0
Andhra Pradesh,Kakinada,HOS-HYD-49,Raghava 24 Hours Emergency Hospital,"11-3-12, Vet Hospital Road",533004,0884-2373737,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-39,Saivani Super Speciality Hospital (A Unit Of Vishwa Health Institute Pvt Ltd),"1-2-365/36/6, 7, Ramakrishna Math Road, Opp Indira Park, Domaluda.",500029,040-27634462,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-40,Sainath Hospital,Chaitanya Chamber Chaitanyapurichaitanyapuri,500060,040-4047809,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-349,Sathya Kidney Centre & Super Speciality Hospitals (A Unit Of Sathya Nursing Home Ltd.),"3-6-426, Street No 4 Himayatnagar",500029,040-27636444,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-1478,Satya Sai Bhavani Hospital Pvt Ltd,"Main Road, Shapoor Nagar, I.D.A. Jeedi Mtla",500055,040-23195466,NA,0,NA,NA,0,0
Andhra Pradesh,Secunderabad,HOS-HYD-41,Secunderabad Nursing Home,"10-2-256, Westmaredpally",500026,040-27703854,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-351,Seetharam Nursing Home,3-5-1091-15/1 Narayanaguda,500029,040-23262737,NA,0,NA,NA,0,0
Andhra Pradesh,Visakhapatnam,HOS-HYD-979,Sevenhills Healthcare Private Limited,"11-4-4/A, Rockdale Layout, (Raghavendra Swamy Temple), Waltair Main Road",530002,0891-6677777,NA,0,NA,NA,0,0
Andhra Pradesh,Hyderabad,HOS-HYD-42,Shenoy Nursing Home,"10-3-4, Entrenchment Road, East Marredpally",500026,040-27732303,NA,0,NA,NA,0,0
